teamFotmobId,team_name
162904,Deportes Iquique
162922,Manta
162975,Bandırmaspor
163251,Afturelding
163363,Ajax II
163540,Paide
163782,Mirassol
164353,Nacional Potosí
164720,Montedio Yamagata
164734,Gangwon
164737,Kataller Toyama
164739,Fagiano Okayama
165147,Ayacucho
165148,Sport Huancayo
165545,Atlético GO
166865,Astana
168719,Krasnodar
169157,Banga
172341,Ceará
175388,Lokomotiva Zagreb
175654,Bala Town
175682,Milsami
175797,Rudar Prijedor
175807,Vlašim
176495,Yaracuyanos
176496,Deportivo La Guaira
176525,Spartak Subotica
177067,Truro City
177179,Kairouan
177356,Al Fateh
177361,Nieciecza
177522,Renate
178475,RB Leipzig
184615,Akritas
185504,Rapperswil-Jona
187854,Novi Pazar
187880,Botev Vratsa
187928,Sloga Doboj
187951,Suwon
187960,Cheonan City
187969,Carrick Rangers
188151,Dacia-Buiucani
188154,Lusitania FC Lourosa
188163,Tondela
188187,Petrolul 52
188191,Botoşani
188213,UCV
188313,Boston River
189475,Südtirol
189481,Brescia
189486,Pro Vercelli
189506,Monopoli
189594,Real Avilés
189631,Arenas Club
189639,Europa
189680,Real Madrid Castilla
189730,Atlético Sanluqueño
190091,Teruel
191111,Versailles
191427,Team Thoren
191716,Philadelphia Union
192435,Unión La Calera
192875,Independiente del Valle
192962,FS Jelgava
193025,Águilas Doradas
193029,Alianza
194011,Machida Zelvia
194015,Blaublitz Akita
194016,V-Varen Nagasaki
195601,Sochi
196257,Maccabi Kabilio Jaffa
197429,Operário PR
197693,Chapecoense
197815,Cuiabá
197864,BFC Daugavpils
197869,FK Metta
197870,FK Tukums 2000/Telms
198135,Volta Redonda
198616,Shanghai Port
200281,Yelimay Semey
203576,Melbourne City
205686,Al Taawon
206091,Austria Salzburg
206148,Gabès
206560,Gorica
207145,Chesham United
207242,Minnesota United
207869,Colwyn Bay
207873,Stellenbosch FC
208931,Carpi
208932,Virtus Entella
208936,Trapani
209196,Tarazona
210132,Farul Constanţa
210173,Ludogorets
210220,Municipal Liberia
212658,Campobasso
212660,Latina
212820,Torreense
212821,Casa Pia AC
213307,Lokeren-Temse
213987,Sumqayıt
238671,Paris 13 Atletico
238687,Fleury 91 FC
241064,Olympic
245905,Gwangju
248871,RFS
254228,Dainava
257518,Riteriai
267810,Orlando City
272871,Radomlje
274583,Patro Eisden
274599,Chorley
275027,AFC Totton
276267,Viktoria Köln
277990,Casertana
278960,Utrecht II
279088,Chrudim
281460,Ümranıyespor
281467,BB Erzurumspor
282326,Salford City
282351,Worthing
282365,Enfield Town
282390,Radcliffe FC
282396,Fylde
289334,Stade Lausanne-Ouchy
293257,Le Puy F.43 Auvergne
293352,Annecy
293443,Aubagne
